molecule_chembl_id,pchembl_value,target_chembl_id,value,canonical_smiles
CHEMBL382397,5.81,CHEMBL4282,1560.0,N[C@H](COc1cncc(-c2ccc(F)cc2)c1)Cc1c[nH]c2ccccc12
CHEMBL427388,5.74,CHEMBL4282,1830.0,N#Cc1ccc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)cc1
CHEMBL268054,5.87,CHEMBL4282,1340.0,Cc1c(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)cc(C#N)c(=O)n1C
CHEMBL208199,6.58,CHEMBL4282,260.0,N[C@H](COc1cncc(-c2ccncc2)c1)Cc1c[nH]c2ccccc12
CHEMBL382379,5.16,CHEMBL4282,6970.0,N[C@H](COc1cncc(Nc2cccnc2)c1)Cc1ccccc1
CHEMBL207699,4.72,CHEMBL4282,18830.0,N[C@H](COc1cncc(Nc2ccncc2)c1)Cc1ccccc1
CHEMBL207671,5.67,CHEMBL4282,2160.0,N[C@H](COc1cncc(Nc2cccnc2)c1)Cc1c[nH]c2ccccc12
CHEMBL383223,5.54,CHEMBL4282,2860.0,N[C@H](COc1cncc(Nc2ccncc2)c1)Cc1c[nH]c2ccccc12
CHEMBL207530,5.03,CHEMBL4282,9350.0,N[C@H](COc1cncc(-c2nc(-c3cccnc3)cs2)c1)Cc1ccccc1
CHEMBL377771,5.01,CHEMBL4282,9870.0,N[C@H](COc1cncc(-c2nc(-c3ccncc3)cs2)c1)Cc1ccccc1
CHEMBL414861,4.5,CHEMBL4282,31950.0,N[C@H](COc1cncc(NC(=O)c2ccncc2)c1)Cc1ccccc1
CHEMBL208499,5.7,CHEMBL4282,2020.0,N[C@H](COc1cncc(C(=O)Nc2ccncc2)c1)Cc1c[nH]c2ccccc12
CHEMBL205349,4.6,CHEMBL4282,25200.0,N[C@H](COc1cncc(C#Cc2cccnc2)c1)Cc1c[nH]c2ccccc12
CHEMBL206208,6.68,CHEMBL4282,210.0,N[C@H](COc1cncc(C#Cc2ccncc2)c1)Cc1c[nH]c2ccccc12
CHEMBL380196,7.82,CHEMBL4282,15.0,Nc1c(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)ccc2cnccc12
CHEMBL210390,8.47,CHEMBL4282,3.4,Nc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1
CHEMBL378211,7.25,CHEMBL4282,56.0,N[C@H](COc1cncc(-c2ccc3cnc(C#Cc4ccccc4)cc3c2)c1)Cc1c[nH]c2ccccc12
CHEMBL378714,6.75,CHEMBL4282,180.0,CC#Cc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1
CHEMBL209564,6.91,CHEMBL4282,122.0,N[C@H](COc1cncc(-c2ccc3cnc(-c4ccncc4)cc3c2)c1)Cc1c[nH]c2ccccc12
CHEMBL210544,6.52,CHEMBL4282,305.0,N[C@H](COc1cncc(-c2ccc3cnc(-c4ccccc4)cc3c2)c1)Cc1c[nH]c2ccccc12
CHEMBL210333,7.24,CHEMBL4282,57.0,N[C@H](COc1cncc(-c2ccc3cnc(-c4ccco4)cc3c2)c1)Cc1c[nH]c2ccccc12
CHEMBL377764,7.66,CHEMBL4282,22.0,C=Cc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1
CHEMBL206924,6.84,CHEMBL4282,144.0,CCc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1
CHEMBL381273,6.19,CHEMBL4282,640.0,N#Cc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1
CHEMBL210783,6.39,CHEMBL4282,407.0,N[C@H](COc1cncc(-c2ccc3cnc(Cl)cc3c2)c1)Cc1c[nH]c2ccccc12
CHEMBL210246,8.46,CHEMBL4282,3.5,N[C@H](COc1cncc(-c2ccc3cnc(F)cc3c2)c1)Cc1c[nH]c2ccccc12
CHEMBL208962,6.8,CHEMBL4282,160.0,Nc1nccc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc12
